State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
VIC,ABERFELDY,3825,Monash,,,
VIC,ADA,3833,Monash,,,
VIC,ADAMS ESTATE,3984,Monash,,,
VIC,AGNES,3962,Monash,,,
VIC,ALLAMBEE,3823,Monash,,,
VIC,ALLAMBEE RESERVE,3871,Monash,,,
VIC,ALLAMBEE SOUTH,3871,Monash,,,
VIC,ALMURTA,3979,Monash,,,
VIC,AMOR,3825,Monash,,,
VIC,ANDERSON,3995,Monash,,,
VIC,ARAWATA,3951,Monash,,,
VIC,ARCHIES CREEK,3995,Monash,,,
VIC,ATHLONE,3818,Monash,,,
VIC,BAROMI,3871,Monash,,,
VIC,BASS,3991,Monash,,,
VIC,BAW BAW,3833,Monash,,,
VIC,BAW BAW VILLAGE,3833,Monash,,,
VIC,BAYLES,3981,Monash,,,
VIC,BENA,3946,Monash,,,
VIC,BENNISON,3960,Monash,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
VIC,BERRYS CREEK,3953,Monash,,,
VIC,BINGINWARRI,3966,Monash,,,
VIC,BONA VISTA,3820,Monash,,,
VIC,BOOLA,3825,Monash,,,
VIC,BOOLARONG,3960,Monash,,,
VIC,BOOROOL,3953,Monash,,,
VIC,BRANDY CREEK,3821,Monash,,,
VIC,BRAVINGTON,3821,Monash,,,
VIC,BUFFALO,3958,Monash,,,
VIC,BULN BULN,3821,Monash,,,
VIC,BULN BULN EAST,3821,Monash,,,
VIC,BUNYIP,3815,Monash,,,
VIC,BUNYIP NORTH,3815,Monash,,,
VIC,CALDERMEADE,3984,Monash,,,
VIC,CAPE PATERSON,3995,Monash,,,
VIC,CAPE WOOLAMAI,3925,Monash,,,
VIC,CARDINIA,3978,Monash,,,
VIC,CARINGAL,3825,Monash,,,
VIC,CATANI,3981,Monash,,,
VIC,CHILDERS,3824,Monash,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
VIC,CHURCHILL ISLAND,3925,Monash,,,
